Historical homogenized temperature stations for Canada - Updated to December 2011,,,,,,,,,,
Stations historiques de temperatures homogénéisées pour le Canada - Mise à jour jusqu'à décembre 2011,,,,,,,,,,
Prov,station's name,stnid,beg yr,beg mon ,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
Prov,nom de la station,stnid,année déb.,mois déb.,année fin.,année fin.,lat (deg),long (deg),élév (m),stns jointes
NT,TUKTOYAKTUK,2203914,1957,6,2011,9,69.45,-133.00,18,Y
NT,YELLOWKNIFE,2204100,1942,7,2011,12,62.47,-114.43,206,N
NU,ALERT,2400305,1950,7,2011,12,82.50,-62.33,65,Y
NU,ARCTIC BAY,2402730,1937,9,2007,11,72.98,-84.62,642,Y
NU,BAKER LAKE,2300500,1946,2,2011,12,64.30,-96.08,18,N
NU,BROUGHTON,2400570,1957,9,2011,12,67.53,-63.78,584,N
NU,CAMBRIDGE BAY,2400600,1940,1,2011,12,69.10,-105.13,27,N
NU,CAPE DORSET,2400634,1927,9,2011,12,64.20,-76.50,48,Y
NU,CAPE DYER,2400650,1959,8,2011,12,66.65,-61.38,393,Y
NU,CAPE HOOPER,2400660,1957,1,2011,12,68.47,-66.82,390,N
NU,CHESTERFIELD,2300707,1930,9,2009,9,63.33,-90.72,10,Y
NU,CLYDE,2400801,1946,1,2011,12,70.48,-68.52,27,Y
NU,CORAL HARBOUR,2301000,1945,1,2011,12,64.20,-83.37,64,N
NU,DEWAR LAKES,2401030,1958,2,2011,12,68.65,-71.17,527,N
NU,ENNADAI LAKE,2301102,1949,10,2011,12,61.10,-100.90,353,Y
NU,EUREKA,2401200,1947,5,2011,12,79.98,-85.93,10,N
NU,HALL BEACH,2402352,1957,1,2011,12,68.78,-81.25,8,Y
NU,IQALUIT,2402591,1946,1,2011,12,63.75,-68.55,34,Y
NU,KUGLUKTUK,2300902,1930,10,2011,12,67.82,-115.13,23,Y
NU,LONGSTAFF BLUFF,2402684,1958,7,2009,7,68.90,-75.13,161,N
