1163780,KAMLOOPS A               ,BC  ,station joined    , Monthly total of daily adjusted precipitation, mm, Updated to December 2010
1163780,KAMLOOPS A               ,BC  ,station jointe    , Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1895,   238.7, ,    83.6, , -9999.9,M, -9999.9,M, -9999.9,M,    26.5, ,    13.4, ,     6.7, ,    57.0, ,     3.6, ,    17.1, ,    29.3, , -9999.9,M, -9999.9,M, -9999.9,M,    46.6, ,    77.8, ,
1896,    56.7, ,    23.4, ,    12.5, ,    25.7, ,    24.3, ,    13.6, , -9999.9,M,    11.3, ,    22.7, ,    12.5, ,    74.2, ,    25.5, , -9999.9,M,   109.4, ,    62.5, , -9999.9,M,   109.4, ,
1897,    18.6, ,     2.5, ,    16.0, ,    17.3, ,    10.6, ,    44.8, ,    80.4, ,    12.1, ,    26.1, ,    11.0, ,    70.9, ,    35.8, ,   346.0, ,    46.6, ,    43.9, ,   137.4, ,   107.9, ,
1898,    29.8, ,    27.8, ,    21.9, ,     0.6, ,    43.5, ,    22.5, ,    22.6, ,     0.0, ,    18.8, ,    36.5, ,    42.1, ,     4.9, ,   271.0, ,    93.4, ,    65.9, ,    45.1, ,    97.4, ,
1899,    37.4, ,    30.3, ,     0.5, ,     3.0, ,    14.4, ,    30.3, ,    36.4, ,    93.9, ,    13.9, ,    11.2, ,    23.4, ,    17.6, ,   312.3, ,    72.5, ,    17.8, ,   160.6, ,    48.5, ,
1900,    12.7, ,     7.6, ,     8.0, ,     5.2, ,    45.5, ,    41.2, ,    44.9, ,    56.5, ,    14.2, ,    16.2, ,    14.9, ,    15.2, ,   282.1, ,    38.0, ,    58.8, ,   142.6, ,    45.2, ,
1901,    26.3, ,    14.1, ,     1.6, ,     5.1, ,     0.0, ,    51.5, ,    11.9, ,     0.0, ,    31.9, ,     4.7, ,    31.0, ,    12.3, ,   190.5, ,    55.6, ,     6.7, ,    63.4, ,    67.6, ,
1902,    30.4, ,    34.3, ,    10.0, ,    12.4, ,    63.6, ,    28.6, ,    22.2, ,    22.1, ,    32.3, ,     0.3, ,    21.9, ,    47.0, ,   325.0, ,    77.0, ,    85.9, ,    72.8, ,    54.5, ,
1903,    10.3, ,     1.0, ,    17.7, ,     7.7, ,    14.6, ,    15.9, ,    59.5, ,    44.4, ,    59.4, ,    11.8, ,    13.8, ,    14.4, ,   270.5, ,    58.2, ,    40.0, ,   119.9, ,    85.0, ,
1904,    77.0, ,    72.9, ,    14.8, ,    27.4, ,     0.3, ,    31.1, ,    26.2, ,    10.2, ,     3.5, ,     1.5, ,    12.4, ,    23.2, ,   300.5, ,   164.3, ,    42.5, ,    67.4, ,    17.5, ,
