6068150,SUDBURY A                ,ON  ,station joined    , Monthly total of daily adjusted precipitation, mm, Updated to December 2010
6068150,SUDBURY A                ,ON  ,station jointe    , Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1921, -9999.9,M, -9999.9,M, -9999.9,M,    90.2, ,    71.4, ,    76.3, ,    90.5, ,    35.4, ,   121.6, ,    35.9, , -9999.9,M,   128.2, , -9999.9,M, -9999.9,M, -9999.9,M,   202.2, , -9999.9,M,
1922,    31.0, ,    37.5, ,    40.8, ,   155.0, ,    40.5, ,    43.6, ,   121.0, ,    44.5, ,    24.2, ,    94.5, ,    82.0, ,    64.0, ,   778.5, ,   196.7, ,   236.3, ,   209.0, ,   200.7, ,
1923,    49.5, ,    57.4, ,    99.6, ,   155.3, ,    40.7, ,    91.7, ,    76.3, ,    89.9, ,    64.8, ,    61.1, ,    36.6, ,    68.2, ,   891.2, ,   170.9, ,   295.6, ,   257.9, ,   162.4, ,
1924,   109.5, ,    48.3, ,    61.5, ,    36.1, ,    35.0, ,    53.2, ,   101.1, ,    71.7, ,    81.6, ,    14.7, ,   132.5, ,   105.7, ,   851.0, ,   226.1, ,   132.6, ,   226.0, ,   228.8, ,
1925,    43.8, ,    68.8, ,   107.0, ,    33.4, ,    57.2, ,    92.6, ,    82.1, ,     8.7, ,   107.8, ,    74.5, ,    73.9, ,    64.4, ,   814.1, ,   218.3, ,   197.7, ,   183.4, ,   256.1, ,
1926,    91.7, ,    18.3, ,    37.6, ,    53.7, ,    61.9, ,    47.8, ,   117.7, ,    64.3, ,    65.5, ,    79.3, ,   158.2, ,    85.1, ,   881.3, ,   174.4, ,   153.2, ,   229.9, ,   303.0, ,
1927,    49.4, ,    60.0, ,    48.4, ,    54.8, ,    92.9, ,    57.5, ,    55.6, ,    73.6, ,   142.3, ,    78.8, ,   121.0, ,    97.3, ,   931.7, ,   194.6, ,   196.1, ,   186.7, ,   342.2, ,
1928,    77.7, ,    80.0, ,    94.2, ,   175.1, ,    64.7, ,    84.9, ,   122.3, ,    61.2, ,   154.9, ,   205.6, ,    67.4, ,    33.9, ,  1221.9, ,   255.0, ,   334.0, ,   268.4, ,   427.9, ,
1929,   102.4, ,    26.6, ,    82.8, ,    80.9, ,    66.8, ,    63.1, ,    58.9, ,    30.0, ,    97.3, ,   141.1, ,    44.3, ,    62.1, ,   856.4, ,   162.9, ,   230.5, ,   152.1, ,   282.7, ,
1930,    81.0, ,    41.2, ,    45.8, ,    45.0, ,    42.7, ,   235.5, ,    65.3, ,    40.4, ,   131.2, ,    28.0, ,    35.3, ,    61.0, ,   852.3, ,   184.3, ,   133.5, ,   341.2, ,   194.4, ,
