4019040,YELLOW GRASS             ,SK  ,station not joined, Monthly total of daily adjusted precipitation, mm, Updated to December 2011
4019040,YELLOW GRASS             ,SK  ,station pas jointe, Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2011
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1912,     0.3, , -9999.9,M,     6.1, , -9999.9,M,   101.8, ,    17.0, ,    56.7, ,    29.6, ,    26.3, ,     7.0, ,     6.1, ,    39.7, , -9999.9,M, -9999.9,M, -9999.9,M,   103.3, ,    39.4, ,
1913, -9999.9,M, -9999.9,M,    18.3, ,     2.8, ,    35.4, ,    80.3, ,    65.9, ,    71.0, , -9999.9,M,    21.5, ,    31.0, , -9999.9,M, -9999.9,M, -9999.9,M,    56.5, ,   217.2, , -9999.9,M,
1914,    24.4, ,     0.1, ,    15.4, ,    22.9, ,    26.4, ,    94.4, ,    46.9, ,    34.7, , -9999.9,M,    16.7, ,     9.1, , -9999.9,M, -9999.9,M, -9999.9,M,    64.7, ,   176.0, , -9999.9,M,
1915, -9999.9,M, -9999.9,M,    12.2, ,     3.3, ,    46.0, ,    61.3, ,   100.5, ,    22.8, ,    52.7, ,     7.1, ,    24.5, ,    25.0, , -9999.9,M, -9999.9,M,    61.6, ,   184.7, ,    84.3, ,
1916,    45.7, ,    19.8, ,    61.0, ,    28.3, ,    54.1, ,   133.5, ,    48.0, ,    28.8, ,    70.7, ,    73.6, ,     7.7, , -9999.9,M, -9999.9,M,    90.5, ,   143.3, ,   210.3, ,   151.9, ,
1917, -9999.9,M, -9999.9,M, -9999.9,M,    46.1, ,     5.2, ,    36.7, ,    37.0, ,    64.5, ,     4.6, ,    21.2, ,     3.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   138.2, ,    28.8, ,
1918,     6.1, , -9999.9,M, -9999.9,M,    78.7, ,    44.3, ,    44.2, ,    27.6, ,    81.9, ,    13.4, ,    18.8, , -9999.9,M,    12.1, , -9999.9,M, -9999.9,M, -9999.9,M,   153.7, , -9999.9,M,
1919,     6.1, ,    10.7, ,     3.0, ,    41.0, ,    28.4, ,    33.0, ,    49.1, ,    27.6, ,    43.9, ,    19.7, ,    12.2, , -9999.9,M, -9999.9,M,    28.9, ,    72.3, ,   109.8, ,    75.9, ,
1920, -9999.9,M,    24.4, ,    24.4, ,    15.4, ,    29.9, ,    86.8, ,    29.3, ,    33.7, ,    49.1, ,    36.8, ,    12.4, ,     6.1, , -9999.9,M, -9999.9,M,    69.7, ,   149.9, ,    98.3, ,
1921, -9999.9,M,    18.5, ,    13.8, ,    49.3, ,    55.3, ,    96.8, ,   116.7, ,    60.6, ,    81.4, ,    13.3, ,    15.0, ,     3.0, , -9999.9,M, -9999.9,M,   118.4, ,   274.1, ,   109.7, ,
