1126150,PENTICTON                ,BC  ,station joined    , Monthly total of daily adjusted precipitation, mm, Updated to December 2011
1126150,PENTICTON                ,BC  ,station jointe    , Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2011
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1907, -9999.9,M, -9999.9,M, -9999.9,M,     5.4, , -9999.9,M, -9999.9,M,    10.0, ,    30.5, ,    22.4, ,     8.1, ,     7.0, ,    25.7, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    37.5, ,
1908,    21.5, ,    18.8, ,    11.1, ,     7.8, ,    21.8, ,    12.9, ,    20.2, ,    81.6, ,    23.9, ,    20.9, ,    11.9, , -9999.9,M, -9999.9,M,    66.0, ,    40.7, ,   114.7, ,    56.8, ,
1909,    18.3, ,   107.5, ,    10.7, ,     1.7, ,    35.6, ,    30.7, ,    64.4, ,    10.9, ,    43.4, ,    23.5, ,    21.4, ,    18.0, ,   386.2, , -9999.9,M,    48.1, ,   106.1, ,    88.2, ,
1910,    17.6, ,    12.5, ,     3.9, ,    13.3, ,    45.4, ,    37.5, ,    13.8, ,    25.7, ,    15.0, ,    18.1, ,    13.2, , -9999.9,M, -9999.9,M,    48.1, ,    62.6, ,    77.0, ,    46.3, ,
1911, -9999.9,M, -9999.9,M,     8.9, ,     6.5, ,    45.9, ,    40.0, ,    10.1, ,    35.4, ,    33.5, ,     6.8, ,    40.9, ,    21.5, , -9999.9,M, -9999.9,M,    61.3, ,    85.5, ,    81.2, ,
1912,    24.4, ,    20.8, ,     2.1, ,    48.5, ,    32.9, ,    41.5, ,    32.2, ,    32.0, ,    37.3, ,    28.9, ,    28.7, ,    14.0, ,   343.3, ,    66.7, ,    83.5, ,   105.7, ,    94.9, ,
1913,    14.3, ,    10.2, ,     7.3, ,    10.4, ,    61.6, ,   104.6, ,    17.2, ,    32.4, ,    11.7, ,    42.0, ,    17.9, ,    13.2, ,   342.8, ,    38.5, ,    79.2, ,   154.2, ,    71.7, ,
1914,    54.7, ,    11.4, ,    21.4, ,    35.7, ,    34.3, ,    34.6, ,    10.1, ,     8.7, ,    60.5, ,    23.3, ,    35.2, ,    17.1, ,   346.9, ,    79.3, ,    91.4, ,    53.4, ,   119.0, ,
1915,    17.9, ,    14.4, ,    30.9, ,    25.6, ,    95.9, ,    41.0, ,    65.7, ,     8.2, ,    29.1, ,    28.8, ,    21.9, ,    30.2, ,   409.5, ,    49.3, ,   152.4, ,   114.8, ,    79.8, ,
1916,    13.3, ,    29.4, ,    11.0, ,    24.0, ,    33.0, ,    56.8, ,    68.8, ,     8.0, ,    20.6, ,     1.3, ,    12.7, ,    15.5, ,   294.2, ,    72.9, ,    68.0, ,   133.5, ,    34.5, ,
1917,     8.0, ,    13.8, ,     8.4, ,    40.0, ,    51.0, ,    31.9, ,     7.8, ,     6.7, ,    38.5, ,     4.1, ,    11.7, ,    76.8, ,   298.7, ,    37.2, ,    99.4, ,    46.5, ,    54.3, ,
