8501900,GOOSE                    ,NL  ,station not joined, Monthly total of daily adjusted precipitation, mm, Updated to December 2011
8501900,GOOSE                    ,NL  ,station pas jointe, Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2011
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1942,    18.1, ,   154.6, ,    76.2, ,    15.7, ,    31.2, ,   151.5, ,   115.5, ,    86.4, ,    71.5, ,    68.1, ,    67.1, ,    45.6, ,   901.4, , -9999.9,M,   123.1, ,   353.4, ,   206.7, ,
1943,    73.6, ,    45.0, ,    67.4, ,    35.4, ,    45.9, ,    95.2, ,   101.4, ,    91.9, ,    38.2, ,    70.9, ,    81.0, ,    53.8, ,   799.8, ,   164.3, ,   148.8, ,   288.5, ,   190.1, ,
1944,    26.9, ,    65.6, ,   147.6, ,    24.0, ,    47.5, ,    55.8, ,    72.8, ,   113.8, ,   101.6, ,    91.4, ,   126.4, ,    89.7, ,   963.1, ,   146.3, ,   219.1, ,   242.4, ,   319.4, ,
1945,    89.9, ,    42.8, ,    31.1, ,    38.7, ,    47.6, ,    50.5, ,    91.5, ,    26.5, ,    54.7, ,    65.2, ,    24.6, ,    88.3, ,   651.3, ,   222.4, ,   117.3, ,   168.5, ,   144.4, ,
1946,    68.7, ,    84.2, ,    26.1, ,    78.2, ,    74.0, ,    46.2, ,    73.6, ,    95.9, ,    30.2, ,    81.0, ,    75.5, ,    93.3, ,   826.9, ,   241.2, ,   178.3, ,   215.7, ,   186.7, ,
1947,    54.3, ,    82.9, ,    18.6, ,    68.5, ,    97.9, ,    29.0, ,    87.6, ,    42.7, ,    85.1, ,    75.0, ,    20.8, ,    61.2, ,   723.6, ,   230.5, ,   185.0, ,   159.3, ,   180.9, ,
1948,    43.8, ,    38.1, ,    30.9, ,    78.4, ,    76.2, ,    72.4, ,    83.2, ,    53.2, ,    81.4, ,    38.1, ,    58.3, ,    69.2, ,   723.2, ,   143.1, ,   185.4, ,   208.8, ,   177.8, ,
1949,    58.0, ,    43.3, ,   133.7, ,   113.4, ,    57.7, ,    52.2, ,    83.4, ,   113.3, ,    82.6, ,    58.0, ,    94.5, ,    82.7, ,   972.7, ,   170.6, ,   304.7, ,   248.9, ,   235.1, ,
1950,    82.7, ,    65.0, ,   112.6, ,    24.7, ,    78.3, ,    92.8, ,   118.5, ,    70.3, ,    35.2, ,    93.0, ,   118.4, ,    78.2, ,   969.5, ,   230.3, ,   215.6, ,   281.6, ,   246.5, ,
1951,   155.4, ,    51.7, ,    53.5, ,    92.6, ,    76.1, ,    40.0, ,    82.5, ,    97.1, ,    71.9, ,    77.5, ,    72.5, ,    61.4, ,   932.2, ,   285.2, ,   222.2, ,   219.6, ,   221.9, ,
1952,   162.3, ,    93.8, ,    75.2, ,    51.0, ,    52.9, ,    77.5, ,   106.0, ,   177.6, ,    87.0, ,    63.2, ,    47.6, ,    14.6, ,  1008.9, ,   317.5, ,   179.2, ,   361.2, ,   197.9, ,
1953,   109.8, ,   143.7, ,    60.7, ,   103.5, ,    36.2, ,    96.5, ,    93.6, ,   245.1, ,    85.9, ,    54.1, ,    62.1, ,   121.4, ,  1212.5, ,   268.1, ,   200.3, ,   435.3, ,   202.1, ,
1954,    88.9, ,    60.5, ,   137.2, ,    81.2, ,    53.9, ,    94.9, ,    69.6, ,    98.4, ,   134.4, ,    66.8, ,    82.2, ,   117.4, ,  1085.5, ,   270.8, ,   272.3, ,   263.0, ,   283.4, ,
1955,    87.4, ,    93.5, ,   103.9, ,    63.9, ,    52.1, ,    65.2, ,    54.7, ,    71.6, ,   110.8, ,    86.5, ,   142.5, ,    70.4, ,  1002.6, ,   298.4, ,   219.9, ,   191.5, ,   339.8, ,
1956,   184.2, ,    69.8, ,    85.2, ,    76.0, ,    47.3, ,   110.2, ,    85.7, ,    87.3, ,    75.6, ,    75.3, ,    93.8, ,    93.4, ,  1083.7, ,   324.4, ,   208.5, ,   283.1, ,   244.7, ,
1957,    32.1, ,   100.8, ,   151.6, ,    99.6, ,   140.8, ,   129.1, ,    95.7, ,   102.4, ,   132.2, ,    70.1, ,    64.5, ,    62.4, ,  1181.1, ,   226.3, ,   392.0, ,   327.1, ,   266.7, ,
1958,    62.5, ,    61.7, ,    39.4, ,   139.5, ,   104.9, ,   105.8, ,   124.5, ,   169.8, ,   151.2, ,    88.7, ,    94.4, ,    47.5, ,  1189.7, ,   186.6, ,   283.8, ,   400.0, ,   334.2, ,
1959,    69.9, ,    43.8, ,    90.6, ,    38.5, ,    70.1, ,    63.8, ,    82.7, ,    67.8, ,    62.3, ,    86.8, ,   101.2, ,    69.1, ,   846.6, ,   161.2, ,   199.2, ,   214.3, ,   250.3, ,
1960,   129.4, ,    55.2, ,    58.7, ,   148.0, ,    52.1, ,   100.8, ,   145.1, ,    92.2, ,   121.3, ,    82.3, ,    53.7, ,    63.2, ,  1102.0, ,   253.7, ,   258.8, ,   338.1, ,   257.3, ,
1961,    92.4, ,    20.0, ,    45.8, ,    26.8, ,   139.5, ,    86.0, ,   173.2, ,    75.6, ,    90.6, ,   138.1, ,    62.2, ,    61.3, ,  1011.4, ,   175.6, ,   212.1, ,   334.7, ,   290.9, ,
1962,    56.4, ,    67.7, ,    93.2, ,    76.2, ,    73.8, ,    75.6, ,   102.6, ,    60.1, ,    73.3, ,    89.0, ,   124.5, ,    45.3, ,   937.8, ,   185.4, ,   243.1, ,   238.3, ,   286.9, ,
1963,   137.5, ,   102.3, ,    92.0, ,    47.7, ,    58.0, ,   174.4, ,   221.3, ,    85.9, ,   122.2, ,    73.3, ,    92.9, ,   144.0, ,  1351.3, ,   285.1, ,   197.7, ,   481.6, ,   288.3, ,
1964,    51.9, ,   113.5, ,   153.5, ,    35.1, ,   107.2, ,   160.9, ,   138.2, ,   114.8, ,    63.6, ,   123.4, ,    88.3, ,    79.1, ,  1229.5, ,   309.4, ,   295.8, ,   413.9, ,   275.2, ,
1965,   124.1, ,    60.0, ,   206.3, ,    59.2, ,    67.1, ,   153.2, ,   127.1, ,    92.1, ,    81.5, ,    69.5, ,    95.4, ,    70.0, ,  1205.4, ,   263.1, ,   332.5, ,   372.4, ,   246.4, ,
1966,    86.2, ,    44.3, ,    45.9, ,    27.3, ,   104.5, ,   102.6, ,   215.2, ,   100.3, ,    54.1, ,   160.8, ,    80.8, ,   132.5, ,  1154.4, ,   200.5, ,   177.6, ,   418.1, ,   295.6, ,
