1166R45,SALMON ARM A             ,BC  ,station joined    , Monthly total of daily adjusted precipitation, mm, Updated to December 2010
1166R45,SALMON ARM A             ,BC  ,station jointe    , Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1980,    26.7, ,    51.1, ,    18.0, ,    42.7, ,    62.4, ,    87.9, ,    44.4, ,    37.9, ,    55.3, ,    35.0, ,    67.1, ,    81.4, ,   609.9, ,   112.2, ,   123.0, ,   170.2, ,   157.4, ,
1981,    14.0, ,    55.3, ,    15.9, ,    47.2, ,    69.6, ,    74.8, ,    99.5, ,    34.5, ,    49.9, ,    89.5, ,    58.0, ,    74.3, ,   682.6, ,   150.8, ,   132.7, ,   208.8, ,   197.3, ,
1982,   136.7, ,    48.2, ,    27.1, ,    26.4, ,    39.1, ,    61.6, ,    97.4, , -9999.9,M, -9999.9,M,    35.3, ,    81.3, ,    67.9, , -9999.9,M,   259.2, ,    92.5, , -9999.9,M, -9999.9,M,
1983,    70.7, ,    97.2, ,    77.7, ,    59.3, ,    24.9, ,    75.9, ,   132.6, ,    15.4, ,    32.8, ,    33.4, ,   115.5, ,    49.7, ,   784.9, ,   235.8, ,   161.9, ,   223.8, ,   181.7, ,
1984,    45.7, ,    17.4, ,    56.0, ,    29.8, ,    90.6, ,    61.2, ,    22.0, ,    30.7, ,    36.3, ,    42.3, ,    96.3, ,    45.9, ,   574.3, ,   112.8, ,   176.4, ,   113.9, ,   175.0, ,
1985,    10.3, ,    26.2, ,    10.8, ,    32.8, ,    54.1, ,    44.2, ,    23.9, ,    43.0, ,    71.0, ,    90.9, ,    30.8, ,    42.3, ,   480.3, ,    82.4, ,    97.7, ,   111.1, ,   192.7, ,
1986,    39.0, ,    40.2, ,    51.2, ,    64.7, ,    51.0, ,    90.7, ,    73.4, ,     4.2, ,    83.1, ,    22.6, ,    52.1, ,    46.3, ,   618.4, ,   121.5, ,   166.8, ,   168.3, ,   157.8, ,
1987,    38.8, ,    28.1, ,    39.0, ,    38.5, ,    29.1, ,    19.9, ,    61.6, ,    36.8, ,    23.2, ,    13.7, ,    54.7, ,    75.3, ,   458.6, ,   113.2, ,   106.5, ,   118.3, ,    91.5, ,
1988,    14.9, ,    43.6, ,    43.3, ,    84.5, ,    56.5, ,    90.9, ,    50.6, ,    50.4, ,    91.5, ,    51.6, ,    95.5, ,    43.6, ,   717.0, ,   133.8, ,   184.4, ,   191.9, ,   238.7, ,
1989,    38.2, ,    32.5, ,    52.9, ,    29.9, ,   103.2, ,    59.9, ,    53.0, ,    79.7, ,    52.6, ,    49.1, ,    56.8, ,    57.1, ,   664.7, ,   114.3, ,   186.0, ,   192.5, ,   158.4, ,
1990,    78.3, ,    24.3, ,    33.1, ,    23.3, ,    77.2, ,   127.1, ,    50.8, ,    85.2, ,     4.3, ,    76.3, ,    79.5, ,    78.6, ,   737.9, ,   159.6, ,   133.5, ,   263.1, ,   160.1, ,
1991,    46.5, ,    37.2, ,    24.3, ,    46.1, ,    56.0, ,    47.3, ,    32.0, ,    75.8, ,    14.3, ,    24.2, ,    90.7, ,    15.5, ,   509.9, ,   162.2, ,   126.4, ,   155.1, ,   129.2, ,
1992,   105.1, ,    27.6, ,    27.3, ,    46.6, ,    25.1, ,    49.8, ,    52.0, ,    15.2, ,    68.3, ,    50.7, ,   121.0, ,   117.3, ,   706.1, ,   148.3, ,    99.0, ,   117.1, ,   240.0, ,
